title,description,website,excerpt,participants,start_date,end_date,private,online,address,address2,city,country,state,latitute,longitude,postcode
Advancing Supportive Cancer Care and Healing: Evidence-Based Training for Oncology Nurses in Georgia,"This workshop will advance palliative care education and the capacity of professional nurses in Georgia to improve quality of life among adult oncology patients. This will be achieved through the delivery of evidence-based training modules pre-selected by Georgian physicians and nurses, and identification of early innovators and key collaborators so as to position the field of nursing oncology for successful long-term development. Content will focus on state-of-science skills that nurses can carry out to relieve patientsäó» cancer and treatment-related symptoms; reduce patientsäó» anxiety and depressed mood; and enhance patient and caregiver illness-management skills and competencies. The project includes a day of observing nurses in practice, a 3-day intensive workshop, consultation with Tbilisi State Medical University faculty on integrating the modules into the TSMU nursing curriculum as well as on-site follow-up and coaching of purposefully-selected nurse participants.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Allison Dvaladze,5/14/2016,8/15/2016,TRUE,FALSE,825 Eastlake Av E,,Seattle,United States,WA,47.62652,-122.329569,
Cancer registration workshop in North Africa,"WHO and several other research groups have recognized the importance of population cancer registries, as an essential tool for health research. The availability of data on cancer is an important element for the implementation of a cancer control program. These data are essential for our country .They provide a reliable indication of the profile of cancer, indicating incidence rates, trends and survival. These data are also important for the region and the world. Our goal is to implement this training for the cancer registries in Algeria and neighboring countries in Maghreb. The experience of cancer registry Setif, and the presence of international experts in cancer registration can provide this training. The target audience is the health workers in cancer registration in Algeria, Tunisia and Morrocco. The number is 50 physicians and technicians working in the cancer registries",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Mokhtar Hamdi Cherif,2/14/2016,2/14/2016,TRUE,FALSE,Hospital Center University,Street Bel Air,Setif,Algeria,,36.196903,5.415087,
Use of the African Palliative Outcome Scale (POS) to improve cancer care in Ghana,"The Palliative Outcome Scale (POS) is a validated patient reported outcome measure which is widely used in palliative care in Europe, Australia, Asia, Africa and America. This workshop is aimed at professionals in palliative and end-of-life care in Ghana. The workshop combines theory and hands-on exercises. Participants also have the opportunity to tailor this training to their local needs, by choosing the most relevant parallel group session. It is anticipated that participants will come to: understand the role that outcome measurement, and POS in particular, can play in improving the quality, efficiency and availability of palliative care; develop skills in outcome measurement in general; be updated regarding outcome measurement resources and how to ensure their use in practice; review barriers to the implementation and use of outcome measures in practice and learn strategies to overcome these barriers. Use of POS in research will also be covered.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Joe Harford,3/14/2016,3/14/2016,TRUE,FALSE,"9609 Medical Center Dr., Rm. 3W536",,Rockville,United States,,39.103411,-77.196553,
Cervical cancer screening and precancer treatment,"This is a series of training workshops in Myanmar to build capacity for visual inspection with acetic acid (VIA) to screen for cervical cancer and cryotherapy to treat any cervical precancer found. There is already capacity among gynecologists at the regional hospitals in Mandalay and Yangon to offer loop electrosurgical excision procedures (LEEP) for more complex precancers and surgery for invasive cancer if found. The first workshop will be conducted by external faculty to train 5äóñ7 clinicians who will eventually become master trainers. About two months later, the external trainers will return to complete the training-of-trainers course and observe and support the local trainers as they train midwives in the two districts designated by the Ministry of Health (MOH) as the first ones in the country to pilot a government screening program (Pyin Oo Lwin and Yamethin). The MOH has set cervical cancer prevention as a high priority, but they need to develop local training capacity.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Jose Jeronimo,12/13/2016,5/14/2016,TRUE,FALSE,Program for Appropriate Technology in Health,Suite 200,Seattle,United States,,47.618325,-122.339425,
McCabe Centre for Law and Cancer Intensive Legal Training Workshop,"The workshop will provide intensive training on äóÖlaw and canceräó» issues, primarily to government lawyers from low- and middle- income countries, through a combination of presentations, discussion and work on individual priority projects. It will touch on a range of legal issues relating to cancer prevention (tobacco, alcohol and obesity) and treatment (including access to medicines), with a focus on prevention, particularly the WHO Framework Convention on Tobacco Control. It will address cross-cutting legal issues, and include sessions on advocacy, public health leadership and building collaborations. Participants will be identified and invited through McCabe Centre, WHO, UICC and other networks. The primary criterion is that participants will benefit from the training in a way that will contribute to real-world progress in their country or region. This workshop will be unique in offering sufficient time (4 weeks) to engage in detail with a range of critical issues.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Jonathan Liberman,2/14/2016,2/14/2016,TRUE,FALSE,McCabe Centre for Law and Cancer,100 Drummond Street,Carlton,Australia,,-37.804233,144.967936,
Improving access to opioids for cancer pain management in Regional Cancer Centers in India,"Most large cancer hospitals in India, including government-designated lead cancer centers do not have personnel trained to administer morphine and other pain medications judiciously. National Cancer Control Program of India recognizes palliative care as an essential part of comprehensive cancer care and recommends 10% of the budget earmarked for these services at all level of services delivery. In 2014, the Government of India passed legislation for a uniform modified Narcotic Drug and Psychotropic Substance Act (NDPS) across the country. In view of this new act and in order for its effective implementation, a workshop is proposed for the oncologists, nurses, pharmacists and policy makers of Regional Cancer Centers in India. The objective is to educate and advocate judicious use of opioids like oral morphine in cancer pain management, to understand the new modified NDPS Act and to develop a standard operating procedure for its implementation across major cancer hospitals in India.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Gayatri Palat,2/15/2016,2/15/2016,TRUE,FALSE,"MNJ Institute of Oncology and RCC, Redhills",,Hyderabad,India,,17.398954,78.462406,
Training Workshop,"To train and update knowledge of the SNCR staff in (Expected transferable skills): 1. Review methods of data collection including modern data collection forms . 2. Quality control and detection of duplicate cases. 3. CanReg5; data entry, coding. 4. Data analysis. 5. Report writing and publication (standard tables of a first report).",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Ahmed Salih,6/14/2016,6/14/2016,TRUE,FALSE,Sudan National Cancer Registry,Nile,Khartoum,Sudan,,15.597989,32.529198,
To train Moroccan master trainers in screening and treating cervical cancer,Morocco recently launched a National Plan for Cancer Prevention and Control. Priority is being given to screening for cervical and breast cancers. As cytology screening for cervical cancer is not feasible throughout the country they have chosen to screen by visual inspection with acetic acid (VIA). The introduction of the nationwide scale cervical cancer screening program can be made on medium-term. With this aim in mind Lalla Salma Association against Cancer (ALSC) approached the Screening Group (SCR) at the International Agency for Research on Cancer to train 15 Moroccan master trainers in VIA and treatment of precancerous lesions by cold coagulation and loop electrosurgical excision procedure (LEEP). SCR has a large cervical cancer prevention program in rural India and proposes to run the training course there where they will be ensured of seeing women with various different cervical lesions for a successful hands-on training course.,http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Rengaswamy Sankaranarayanan,11/14/2016,11/14/2016,TRUE,FALSE,International Agency for Research on Cancer,Cours Albert Thomas,Lyon,France,,45.743411,4.875108,
IARC Cancer Registration Course for Russian-speaking Participants,"The International Agency for Research on Cancer (IARC) has initiated the IARC Regional Hub for Cancer Registration in Izmir, Turkey to provide technical guidance to existing cancer registries in Northern Africa, Central and Western Asia, as well as to help implement and develop new Population Based Cancer Registries in the region. The proposed workshop aims to build participantsäó» professional capacity to establish and sustainably maintain high-quality cancer registries providing, in due course, internationally comparable data. By bringing together Russian-speaking cancer registry professionals from 15 countries, the workshop will also serve as a platform for networking within the region and with the Hub in Izmir, providing the opportunity for the participants to discuss barriers and solutions in collection of data, and exchange opinions on ways to improve cancer registration in their countries and the region.",http://www.uicc.org/programmes/global-education-and-training-initiative-geti/uicc-workshops,,Ariana Znaor,7/14/2016,10/14/2016,TRUE,FALSE,"150, Cours Albert Thomas",,Lyon,France,,45.743411,4.875108,
"Global Cancer: Occurence, Causes and Avenues to Prevention",A conference to discuss today's challenges and design tomorrow's agenda,http://www.iarc-conference2016.com/,,,6/16/2016,6/16/2016,FALSE,FALSE,"150, Cours Albert Thomas",,Lyon,France,,45.743411,4.875108,
"25th American Institute for Cancer Research (AICR) 2016 Research Conference on Nutrition, Physical Activity, Obesity and Cancer","The American Institute for Cancer Research (AICR) Research Conference is a unique forum that brings together researchers and clinicians for a program that is dedicated to increasing knowledge, stimulating research and promoting prevention and treatment of cancer through nutrition, physical activity and weight management.",http://www.aicr.org/cancer-research/conference/,,,11/14/2016,11/16/2016,FALSE,FALSE,Marriott Bethesda North Hotel & Conference Center,,North Bethesda,United States,Maryland,39.044553,-77.118868,
58th American Society of Hematology (ASH) Annual Meeting & Exposition,"The ASH Annual Meeting is the world's premier event in malignant and non-malignant hematology. The meeting provides an invaluable educational experience and an opportunity to review thousands of scientific abstracts highlighting updates in the hottest topics in hematology. Network with top minds in the field, as well as a global community of more than 20,000 hematology professionals from every subspecialty.",http://www.hematology.org/Annual-Meeting/,,,12/3/2016,12/6/2016,FALSE,FALSE,,,San Diego,United States,CA,32.715738,-117.161084,
American Association for Cancer Research (AACR) Annual Meeting 2017,"The AACR Annual Meeting highlights the best cancer science and medicine from institutions all over the world. Attendees are invited to stretch their boundaries, form collaborations, attend sessions outside their own areas of expertise, and learn how to apply exciting new concepts, tools, and techniques to their own research.",http://www.aacr.org/Meetings/Pages/MeetingDetail.aspx?EventItemID=105#.V2JR1U39nr8,,,4/1/2017,4/5/2017,FALSE,FALSE,Walter E. Washington Convention Center,,Washington D.C.,United States,,38.907192,-77.036871,
Multidisciplinary Cancer Management Courses,"Multidisciplinary Cancer Management Courses (MCMC) improve cancer care globally by promoting interdisciplinary cancer management among specialists, surgeons, pathologists, and members of the oncology caregiving team. The MCMC teach multidisciplinary management of the most prevalent cancer types in the host country. These courses feature mock tumor boards and education on different aspects of treatment, from initial presentation to end of life care. 89% of respondents reported increased participation in tumor boards or discussing treatment plans with other colleagues.",http://www.asco.org/meetings/international-meetings/multidisciplinary-cancer-management-courses,,,9/7/2016,9/10/2016,TRUE,FALSE,,,Cordoba,Argentina,,-31.420083,-64.188776,
Multidisciplinary Cancer Management Courses,"Multidisciplinary Cancer Management Courses (MCMC) improve cancer care globally by promoting interdisciplinary cancer management among specialists, surgeons, pathologists, and members of the oncology caregiving team. The MCMC teach multidisciplinary management of the most prevalent cancer types in the host country. These courses feature mock tumor boards and education on different aspects of treatment, from initial presentation to end of life care. 89% of respondents reported increased participation in tumor boards or discussing treatment plans with other colleagues.",http://www.asco.org/meetings/international-meetings/multidisciplinary-cancer-management-courses,,,2/23/2017,2/25/2017,TRUE,FALSE,,,Marrakech,Morocco,,31.629472,-7.981084,
Multidisciplinary Cancer Management Courses,"Multidisciplinary Cancer Management Courses (MCMC) improve cancer care globally by promoting interdisciplinary cancer management among specialists, surgeons, pathologists, and members of the oncology caregiving team. The MCMC teach multidisciplinary management of the most prevalent cancer types in the host country. These courses feature mock tumor boards and education on different aspects of treatment, from initial presentation to end of life care. 89% of respondents reported increased participation in tumor boards or discussing treatment plans with other colleagues.",http://www.asco.org/meetings/international-meetings/multidisciplinary-cancer-management-courses,,,3/14/2017,3/17/2017,TRUE,FALSE,,,Uyo,Nigeria,,5.03774,7.912795,
International Clinical Trials Workshops,"The International Clinical Trials Workshops (ICTW) support cancer research in economically emerging countries through the development of skills for early career researchers. Topics cover best practices in implementing clinical trials, clinical study methodologies, statistics for investigators, ethics, and regulatory issues. 85% of respondents said participating at ICTW helped them better understand clinical research regulations.",http://www.asco.org/meetings/international-meetings/international-clinical-trials-workshops,,,9/23/2016,9/25/2017,TRUE,FALSE,,,Cluj Napoca,Romania,,46.77121,23.623635,
International Clinical Trials Workshops,"The International Clinical Trials Workshops (ICTW) support cancer research in economically emerging countries through the development of skills for early career researchers. Topics cover best practices in implementing clinical trials, clinical study methodologies, statistics for investigators, ethics, and regulatory issues. 85% of respondents said participating at ICTW helped them better understand clinical research regulations.",http://www.asco.org/meetings/international-meetings/international-clinical-trials-workshops,,,3/23/2017,3/25/2017,TRUE,FALSE,,,Montevideo,Uruguay,,-34.901113,-56.164531,
International Clinical Trials Workshops,"The International Clinical Trials Workshops (ICTW) support cancer research in economically emerging countries through the development of skills for early career researchers. Topics cover best practices in implementing clinical trials, clinical study methodologies, statistics for investigators, ethics, and regulatory issues. 85% of respondents said participating at ICTW helped them better understand clinical research regulations.",http://www.asco.org/meetings/international-meetings/international-clinical-trials-workshops,,,5/19/2017,5/20/2017,TRUE,FALSE,,,Athens,Greece,,37.98381,23.727539,
CME Pathology Conference,"This is an advanced post-graduate continuing medical education (CME) event, designed for practitioners in pathology, dermatology, oncology and surgical fields. Trainees and students in these fields can also gain much from attendance. Current topics in gynecology, gastroenterology, urology, skin, liver and breast pathology will be covered by international and domestic experts with many years of experience in these fields. Key course objectives will include treatment and staging decisions in breast tumors, process optimization in GI oncology for better outcomes, when to consider MSI testing on GI or endometrial tumors, differential considerations and staging issues in melanoma, commonly encountered inflammatory skin diseases, differentiation of mimics of hepatocellular carcinoma such as adenoma, dysplastic nodule, application of new grading scheme for prostate cancers, and differentiation of common GI polypoid lesions.",http://pathhue2016.com/,,"Lewis A. Hassell, Thuy Phung, Dang Cong Thuan",10/7/2016,10/8/2016,FALSE,FALSE,University of Medicine and Pharmacy,,Hue City,Viet Nam,,16.4498,107.56235,
International Palliative Care Workshops,"ASCO collaborates with oncology societies around the world to deliver education about palliative care to health care providers. Topics include communication skills, pain assessment, and symptom management.",http://www.asco.org/meetings/international-meetings/international-palliative-care-workshops,,,5/11/2016,5/13/2016,TRUE,FALSE,,,Almaty,Kazakhstan,,43.222015,76.851248,
International Palliative Care Workshops,"ASCO collaborates with oncology societies around the world to deliver education about palliative care to health care providers. Topics include communication skills, pain assessment, and symptom management.",http://www.asco.org/meetings/international-meetings/international-palliative-care-workshops,,,10/21/2016,10/23/2016,TRUE,FALSE,,,Luoyang,China,,34.619683,112.45404,
International Palliative Care Workshops,"ASCO collaborates with oncology societies around the world to deliver education about palliative care to health care providers. Topics include communication skills, pain assessment, and symptom management.",http://www.asco.org/meetings/international-meetings/international-palliative-care-workshops,,,3/8/2017,3/10/2017,TRUE,FALSE,,,Jakarta,Indonesia,,-6.208763,106.845599,
International Palliative Care Workshops,"ASCO collaborates with oncology societies around the world to deliver education about palliative care to health care providers. Topics include communication skills, pain assessment, and symptom management.",http://www.asco.org/meetings/international-meetings/international-palliative-care-workshops,,,9/22/2017,9/25/2017,TRUE,FALSE,,,Fez,Morocco,,34.018125,-5.007845,
2016 World Cancer Congress,"The World Cancer Congress is an award winning conference that is now acknowledged by the global cancer community as the leading international event in cancer implementation science. Delegates thrive on its programme's stimulating and innovative features which enable them to exchange best practices in cancer control in a collaborative and inspiring environment. This global conference represents a unique opportunity for the global cancer and wider health community to network, learn, develop meaningful collaborations and drive change together. The World Cancer Congress is run by the Union for International Cancer Control (UICC) and takes place every two years in a different country, always hosted by a UICC member organisation. The conference is aligned with UICC's purpose statement of uniting the cancer community, to reduce the global cancer burden, to promote greater equity and to integrate cancer into the world's health and development agenda. With the inclusion of cancer and other non-communicable diseases (NCDs) in the post-2015 development agenda, the 2016 World Cancer Congress theme, äó»Mobilising action - Inspiring changeäó», will provide an even more opportune platform for Congress delegates to build on this momentum and continue to expand their scope of influence and action for the successful implementation of these global commitments in their own settings.",http://www.worldcancercongress.org/,,,10/31/2016,11/2/2016,FALSE,FALSE,2 Place de la Porte Maillot 75017,,Paris,France,,48.879683,2.28348,
Cancer Control in Primary Care Courses,"Countries with limited oncology resources are facing a rise in cancer incidence. To address this growing need, all sectors of the health care system must collaborate on exercising cancer control. The Cancer Control in Primary Care course, provides primary health care providers with practical and specific knowledge that can be put into daily practice. Topics focus on early detection and referral network, cancer prevention, communication, and local resources. 92% of those who have participated in the CCPC course say they intend to make practice changes based on what they learned.",http://www.asco.org/international-programs/international-educational-opportunities/cancer-control-primary-care-courses,,,9/1/2016,9/3/2016,TRUE,FALSE,,,Accra,Ghana,,5.603717,-0.186964,
Cancer Control in Primary Care Courses,"Countries with limited oncology resources are facing a rise in cancer incidence. To address this growing need, all sectors of the health care system must collaborate on exercising cancer control. The Cancer Control in Primary Care course, provides primary health care providers with practical and specific knowledge that can be put into daily practice. Topics focus on early detection and referral network, cancer prevention, communication, and local resources. 92% of those who have participated in the CCPC course say they intend to make practice changes based on what they learned.",http://www.asco.org/international-programs/international-educational-opportunities/cancer-control-primary-care-courses,,,11/1/2016,11/4/2016,TRUE,FALSE,,,Recife,Brazil,,-8.057838,-34.882897,
Cancer Control in Primary Care Courses,"Countries with limited oncology resources are facing a rise in cancer incidence. To address this growing need, all sectors of the health care system must collaborate on exercising cancer control. The Cancer Control in Primary Care course, provides primary health care providers with practical and specific knowledge that can be put into daily practice. Topics focus on early detection and referral network, cancer prevention, communication, and local resources. 92% of those who have participated in the CCPC course say they intend to make practice changes based on what they learned.",http://www.asco.org/international-programs/international-educational-opportunities/cancer-control-primary-care-courses,,,2/13/2017,2/17/2017,TRUE,FALSE,,,Umuahia,Nigeria,,5.524953,7.492241,
ELCC 2017 European Lung Cancer Conference,"ESMO and IASLC are pleased to announce that the 7th edition of the European Lung Cancer Conference (ELCC), will take place 5-8 May 2017, in Geneva, Switzerland. The European Lung Cancer Conference is a collaborative effort of the most important multidisciplinary societies representing thoracic oncology specialists, all working towards a shared goal: to advance science, disseminate education and improve the practice of lung cancer specialists worldwide.",http://esmo.org/Conferences/ELCC-2017-Lung-Cancer,,,5/5/2017,5/8/2017,FALSE,FALSE,,,Geneva,Switzerland,,46.204391,6.143158,
ESMO Summit Africa 2017 äóñ Oncology Updates: From Evidence to Practice,"The ESMO Summit Africa is a three-day educational event with presentations focused on several key disease sites. Created for oncology professionals in Africa by international and local key opinion leaders, the summit will put into context the most significant treatment advances presented at the ESMO annual congress.",http://esmo.org/Conferences/ESMO-Summit-Africa-2017,,"Andrí©s Cervantes, Jeannette Parkes, Bernardo Rapoport",2/10/2017,2/12/2017,FALSE,FALSE,,,Cape Town,South Africa,,-33.924869,18.424055,
48th Annual Congress of the International Society of Paediatric Oncology (SIOP),"The 48th Annual Congress of the International Society of Paediatric Oncology (SIOP) will be in Dublin Ireland. We are delighted to present an exciting and stimulating scientific programme which will facilitate the exchange of ideas and information in paediatric oncology. The congress will be highlighted by engaging sessions given by world renowned experts. Tailored to the entire SIOP community of clinicians, scientists, nurses, allied health professionals, parents and survivors, the world's leading paediatric oncology congress is your opportunity to engage with colleagues from across the globe striving towards a world free of childhood cancer.",http://siop2016.kenes.com/,,,10/19/2016,10/19/2016,FALSE,FALSE,The Convention Centre Dublin (CCD)äó†äó† Spencer Dock North Wall Quay,,Dublin,Ireland,,53.347499,-6.239838,
10th International Symposium on Hodgkin Lymphoma (ISHL),"ISHL is the largest international and interdisciplinary conference on Hodgkin Lymphoma worldwide. ISHL10 will cover the most recent results in basic research, diagnosis and treatment of Hodgkin Lymphoma with a special emphasis on new treatment approaches and a special focus on immunotherapy. Satellite Symposia and specialized workshops will complement the program. In addition, there will be interactive case discussions and a comprehensive Hematology Educational. Participate in this symposium and become actively involved in this exchange of ideas and the most recent developments in the field of Hodgkin Lymphoma!",www.hodgkinsymposium.org.,,,10/22/2016,10/25/2016,FALSE,FALSE,,,Cologne,Germany,,50.938644,6.953885,
15th International Workshop on Multiple Endocrine Neoplasia and other rare endocrine tumors,"This meeting will bring together experts and practitioners from all over the globe, actively involved in patient care, clinical and basic research, as well as advocacy groups of patients with rare endocrine tumor syndromes. We will provide an inspiring program including the state of the art care and research.",http://worldmen2016.org/,,,9/29/2016,10/1/2016,FALSE,FALSE,Jaabeursplein 6 3521 AL Utrecht,,Utrecht,Netherlands,,52.088211,5.107476,
The 9th China Conference on Oncology & The 15th Cross-Strait Academic Conference on Oncology,"The China Confernce on Oncology (CCO) is one of the most significant and influential academic conference in the field of oncology launched by CACA. CCO is held biennially since 2000 and thousands of delegates attended each time. The 9th China Confernce on Oncology & The 15th Cross-Strait Academic Conference on Oncology will be held from Oct. 13, 2016 to Oct. 16, 2016 in Wuhan, Hubei Province. The theme is ""Standardized Precision and Improving Practice on Cancer"". The conference will have plenary session and concurrent symposiums. Well-known experts will be invited and approximate thousands of delegates attend the conference.",http://www.cco2016.org/,,,10/13/2006,10/16/2014,FALSE,FALSE,,,Tianjin,China,,39.084158,117.200983,